Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:stone,1,0,false,
minecraft:grass,2,0,false, 
minecraft:dirt,3,0,false,
minecraft:dirt,3,2,false,
minecraft:cobblestone,4,0,false,
minecraft:planks,5,0,false, 
minecraft:planks,5,1,false, 
minecraft:planks,5,2,false, 
minecraft:planks,5,3,false,   
minecraft:planks,5,4,false,  
minecraft:planks,5,5,false,   
minecraft:sapling,6,0,false, 
minecraft:sapling,6,1,false, 
minecraft:sapling,6,2,false, 
minecraft:sapling,6,3,false,  
minecraft:sapling,6,4,false, 
minecraft:sapling,6,5,false,  
minecraft:bedrock,7,0,false, 
minecraft:sand,12,0,false,
minecraft:sand,12,1,false, 
minecraft:gravel,13,0,false,
minecraft:gold_ore,14,0,false, 
minecraft:iron_ore,15,0,false, 
minecraft:coal_ore,16,0,false, 
minecraft:log,17,0,false,
minecraft:log,17,1,false,
minecraft:log,17,2,false,
minecraft:log,17,3,false, 
minecraft:leaves,18,0,false, 
minecraft:leaves,18,1,false,
minecraft:leaves,18,2,false, 
minecraft:leaves,18,3,false,  
minecraft:sponge,19,0,false,
minecraft:glass,20,0,false,
minecraft:lapis_ore,21,0,false, 
minecraft:lapis_block,22,0,false, 
minecraft:dispenser,23,0,false,
minecraft:sandstone,24,0,false,
minecraft:sandstone,24,1,false, 
minecraft:sandstone,24,2,false, 
minecraft:noteblock,25,0,false, 
minecraft:golden_rail,27,0,false, 
minecraft:detector_rail,28,0,false,  
minecraft:sticky_piston,29,0,false, 
minecraft:web,30,0,false,
minecraft:tallgrass,31,1,false, 
minecraft:tallgrass,31,2,false,
minecraft:deadbush,32,0,false,̸ 
minecraft:piston,33,0,false,
minecraft:wool,35,0,false,
minecraft:wool,35,1,false, 
minecraft:wool,35,2,false, 
minecraft:wool,35,3,false, 
minecraft:wool,35,4,false,Ƹ 
minecraft:wool,35,5,false, 
minecraft:wool,35,6,false, 
minecraft:wool,35,7,false, 
minecraft:wool,35,8,false,- 
minecraft:wool,35,9,false, 
minecraft:wool,35,10,false, 
minecraft:wool,35,11,false, 
minecraft:wool,35,12,false, 
minecraft:wool,35,13,false, 
minecraft:wool,35,14,false, 
minecraft:wool,35,15,false,׸ 
minecraft:yellow_flower,37,0,false,
minecraft:red_flower,38,0,false,
minecraft:red_flower,38,1,false, 
minecraft:red_flower,38,2,false,
minecraft:red_flower,38,3,false, 
minecraft:red_flower,38,4,false, 
minecraft:red_flower,38,5,false, 
minecraft:red_flower,38,6,false, 
minecraft:red_flower,38,7,false, 
minecraft:red_flower,38,8,false,
minecraft:brown_mushroom,39,0,false,
minecraft:red_mushroom,40,0,false,
minecraft:gold_block,41,0,false, 
minecraft:iron_block,42,0,false, 
minecraft:stone_slab,44,0,false, 
minecraft:stone_slab,44,1,false,  
minecraft:stone_slab,44,3,false,  
minecraft:stone_slab,44,4,false, 
minecraft:stone_slab,44,5,false,   
minecraft:stone_slab,44,6,false,   
minecraft:stone_slab,44,7,false, 
minecraft:brick_block,45,0,false,
minecraft:tnt,46,0,false,TNT
minecraft:bookshelf,47,0,false, 
minecraft:mossy_cobblestone,48,0,false, 
minecraft:obsidian,49,0,false,
